[0422/165614.366:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 1612
[0422/165614.367:ERROR:mf_helpers.cc(14)] Error in dxva_video_decode_accelerator_win.cc on line 842
[0422/165614.391:WARNING:angle_platform_impl.cc(52)] compileToBinary(230): 
C:\fakepath(69,8-58): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them
C:\fakepath(77,9-43): warning X3571: pow(f, e) will not work for negative f, use abs(f) or conditionally handle negative values if you expect them

[0428/110259.572:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110304.587:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110309.602:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110314.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110319.622:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110324.640:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110329.651:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110334.662:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110339.672:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110344.684:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110349.700:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110354.713:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110359.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110404.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110409.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110414.768:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110419.773:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110424.790:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110429.800:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110434.812:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110439.826:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110444.840:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110449.852:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110454.860:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110459.873:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110504.891:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110509.900:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110514.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110519.923:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110524.942:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110529.953:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110534.965:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110539.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110544.986:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110550.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110555.011:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110600.025:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110605.041:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110610.050:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110615.062:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110620.076:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110625.090:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110630.100:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110635.112:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110640.127:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110645.140:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110650.151:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110655.162:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110700.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110705.190:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110710.204:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110715.212:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110720.230:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110725.240:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110730.252:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110735.266:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110740.278:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110745.292:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110750.300:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110755.315:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110800.330:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110805.342:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110810.350:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110815.367:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110820.380:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110825.396:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110830.400:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110835.413:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110840.425:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110845.441:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110850.452:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110855.463:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110900.477:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110905.490:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110910.502:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110915.512:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110920.531:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110925.540:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110930.554:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110935.563:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110940.581:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110945.592:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110950.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/110955.613:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111000.630:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111005.642:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111010.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111015.666:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111020.682:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111025.688:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111030.708:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111035.713:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111040.731:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111045.740:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0428/111050.755:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
